"Facility Name","Facility Name#",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"Galveston Offshore Wind Farm","Galveston Offshore Wind Farm","Galveston Offshore Wind Farm","Definition:Offshore Wind","Wind Energy Systems Technology","Wind Energy Systems Technology",,"Offshore from Galveston TX","150 MW",50,,XEMC,Proposed,"29.161°, -94.797°"
"Galveston Offshore Wind Phase 2","Galveston Offshore Wind Phase 2","Galveston Offshore Wind Phase 2","Definition:Offshore Wind","Coastal Point Energy LLC","Coastal Point Energy LLC",,"Gulf of Mexico TX","150 MW",75,,XEMC,Proposed,"29.16°, -94.747°"
"Galveston Test","Galveston Test","Galveston Test","Definition:Offshore Wind","Coastal Point Energy LLC","Galveston Offshore Wind LLC",,"Gulf of Mexico TX","3 MW",1,,Mingyang,Proposed,"29.161°, -94.773°"
"Garden State Offshore Wind Farm","Garden State Offshore Wind Farm","Garden State Offshore Wind Farm","Definition:Offshore Wind",,"Garden State Offshore Energy",,"Offshore from Avalon NJ","350 MW",96,,Undetermined,Proposed,"39.08°, -74.310556°"
"Garnet Wind","Garnet Wind","Garnet Wind","Definition:Commercial Scale Wind","Azusa Light & Water","Azusa Light & Water","Azusa Light & Water","Palm Springs CA","6.5 MW",13,2009,,"In Service","33.918267°, -116.701076°"
"Gary Wind Energy Project","Gary Wind Energy Project","Gary Wind Energy Project","Definition:Small Scale Wind","Energy Maintenance Services-Distributed Energy Services","Energy Maintenance Services-Distributed Energy Services","Energy Maintenance Services-Distributed Energy Services","Gary SD","0.09 MW",1,2002,Vestas,"In Service","44.7906°, -96.4546°"
"Georgia Mountain","Georgia Mountain","Georgia Mountain","Definition:Commercial Scale Wind","All Earth Renewables","All Earth Renewables","Green Mountain Power","Milton VT","10 MW",4,2012,Goldwind,"In Service","44.662351°, -73.067991°"
"Gilpin County School Wind Project","Gilpin County School Wind Project","Gilpin County School","Definition:Community Wind",,,,CO,,1,,SkyStream,,"39.837608°, -105.479469°"
"Glacier Hills","Glacier Hills","Glacier Hills","Definition:Commercial Scale Wind","We Energies","We Energies","We Energies","Between Portage and Randolph above Highway 33 WI","162 MW",90,2011,Vestas,"In Service","43.572059°, -89.111309°"
"Glacier I Wind Farm","Glacier I Wind Farm","Glacier I","Definition:Commercial Scale Wind",NaturEner,NaturEner,,"Near Ethridge MT","106.5 MW",71,2008,Acciona,"In Service","48.555639°, -112.120992°"
"Glacier II","Glacier II","Glacier II","Definition:Commercial Scale Wind",NaturEner,NaturEner,"San Diego Gas & Electric","Near Ethridge MT","103.5 MW",69,2009,Acciona,"In Service","48.555639°, -112.120992°"
"Glenrock III Wind Farm","Glenrock III Wind Farm","Glenrock III","Definition:Commercial Scale Wind",EnXco,PacifiCorp,EnXco,"Converse WY","39 MW",26,2009,"GE Energy","In Service","43.0347917°, -105.8439737°"
"Glenrock Wind Farm","Glenrock Wind Farm",Glenrock,"Definition:Commercial Scale Wind",PacifiCorp,PacifiCorp,PacifiCorp,"East of Casper WY","99 MW",66,2008,"GE Energy","In Service","43.004101°, -105.81286°"
"Goat Mountain Phase I Wind Farm","Goat Mountain Phase I Wind Farm","Goat Mountain Phase I","Definition:Commercial Scale Wind","Cielo/Edison Mission Group","Cielo/Edison Mission Group",Market,"North of San Angelo TX","80 MW",80,2008,Mitsubishi,"In Service","31.908696°, -100.824122°"
"Goat Mountain Phase II Wind Farm","Goat Mountain Phase II Wind Farm","Goat Mountain Phase II","Definition:Commercial Scale Wind","Cielo/Edison Mission Group","Cielo/Edison Mission Group",Market,"North of San Angelo TX","69.6 MW",29,2009,Mitsubishi,"In Service","31.910008°, -100.869355°"
"Gob Nob","Gob Nob","Gob Nob","Definition:Commercial Scale Wind","Rural Electric Convenience Cooperative Project","Rural Electric Convenience Cooperative Project",,"Montgomery County IL","0.9 MW",1,2009,"Emergya Wind Technologies","In Service","39.4384551°, -89.62847114°"
"Golden Hills Wind Farm","Golden Hills Wind Farm","Golden Hills Wind Farm","Definition:Commercial Scale Wind","BP Alternative Energy","BP Alternative Energy",,"Near Wasco in Sherman County OR","400 MW",267,,Undetermined,Proposed,"45.547633°, -120.761232°"
"Golden Spread Panhandle Wind Ranch","Golden Spread Panhandle Wind Ranch","Golden Spread Panhandle Wind Ranch","Definition:Commercial Scale Wind","Golden Spread Electric Cooperative",Cielo,"Golden Spread Electric Cooperative","Wildarado TX","78.2 MW",34,2011,Siemens,"In Service","35.22770741°, -102.2323751°"
"Golden Valley Wind Park","Golden Valley Wind Park","Golden Valley Wind Park","Definition:Commercial Scale Wind",Exergy,Exergy,"Idaho Power","Cassia County ID","12 MW",8,2011,"GE Energy","In Service","42.379924°, -113.876892°"
"Goodland I Wind Farm","Goodland I Wind Farm","Goodland I","Definition:Commercial Scale Wind",,"Orion Energy Group","Duke Energy Carolinas LLC","Benton County near Earl Park IN","130.5 MW",87,2008,"GE Energy","In Service","40.686441°, -87.434993°"
"Goodnoe Hills Wind Farm","Goodnoe Hills Wind Farm","Goodnoe Hills","Definition:Commercial Scale Wind","EnXco/Power Holdings","EnXco/Power Holdings",PacifiCorp,Goldendale,"94 MW",47,2008,REpower,"In Service","45.784293°, -120.552475°"
"Gordon Butte","Gordon Butte","Gordon Butte","Definition:Commercial Scale Wind","Gordon Butte Wind LLC","Oversight Resources LLC","Northwestern Energy","Martinsdale MT","9 MW",6,2012,"GE Energy","In Service","46.41040464°, -110.3341484°"
"Goshen North Wind Project","Goshen North Wind Project","Goshen North Wind Project","Definition:Commercial Scale Wind","BP Wind Energy/Ridgeline Energy","BP Wind Energy/Ridgeline Energy","Southern California Edison Co","Bonneville County ID","124.5 MW",83,2010,"GE Energy","In Service","43.511043°, -111.886067°"
"Grafton Technical College Wind Farm","Grafton Technical College Wind Farm","Grafton Technical College","Definition:Small Scale Wind","Grafton Technical College","Grafton Technical College","Grafton Technical College","Grafton ND","0.07 MW",1,1997,,"In Service","48.406139°, -97.426202°"
"Grand Meadow Wind Farm","Grand Meadow Wind Farm","Grand Meadow","Definition:Commercial Scale Wind",EnXco,EnXco,"Xcel Energy","Dexter MN","100.5 MW",67,2008,"GE Energy","In Service","43.707798°, -92.654071°"
"Grand Ridge Elementary Wind Project","Grand Ridge Elementary Wind Project","Grand Ridge Elementary","Definition:Community Wind",,,,WA,,1,,SkyStream,,"47.545883°, -122.005714°"
"Grand Ridge II Wind Farm","Grand Ridge II Wind Farm","Grand Ridge II","Definition:Commercial Scale Wind",Invenergy,Invenergy,"AEP-Appalachian Power","La Salle County IL","51 MW",34,2009,"GE Energy","In Service","41.15496°, -88.750234°"
"Grand Ridge III Wind Farm","Grand Ridge III Wind Farm","Grand Ridge III","Definition:Commercial Scale Wind",Invenergy,Invenergy,"AEP-Appalachian Power","La Salle County IL","60 MW",40,2009,"GE Energy","In Service","41.15496°, -88.750234°"
"Grand Ridge Wind Farm","Grand Ridge Wind Farm","Grand Ridge Wind Farm","Definition:Commercial Scale Wind",Invenergy,Invenergy,,"La Salle County IL","99 MW",66,2008,"GE Energy","In Service","40.999966°, -88.401693°"
"Granite Reliable Power","Granite Reliable Power","Granite Reliable Power","Definition:Commercial Scale Wind","Brookfield Renewable Energy Group","Brookfield Renewable Energy Group","Green Mountain Power / Central Vermont Public Service / New England Power Pool","Milan NH","99 MW",33,2012,Vestas,"In Service","44.74039314°, -71.28376007°"
"Grant County Wind Farm","Grant County Wind Farm","Grant County Wind Farm","Definition:Commercial Scale Wind","Olympus Power","Suzlon and Juhl Wind",,"5 miles west of Hoffman and 6 miles south of Barrett MN","20 MW",10,2010,"Suzlon Energy Company","In Service","45.82868°, -95.795288°"
Gratiot,Gratiot,Gratiot,"Definition:Commercial Scale Wind","Detroit Edison",Invenergy,"Detroit Edison","Breckenridge MI","102.4 MW",64,2011,"GE Energy","In Service","43.39354149°, -84.50833797°"
"Gratiot County","Gratiot County","Gratiot County","Definition:Commercial Scale Wind",Ivenergy,Ivenergy,"Detroit Edison","Breckenridge MI","110.4 MW",69,2012,"GE Energy","In Service","43.38009947°, -84.4896698°"
"Gray County Wind Farm","Gray County Wind Farm","Gray County Wind Farm","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",Aquila,"Gray County KS","112.2 MW",170,2001,Vestas,"In Service","37.5855°, -100.384°"
"Grays Harbor Demonstration Project","Grays Harbor Demonstration Project","Grays Harbor Demonstration Project","Definition:Offshore Wind","Grays Harbor Ocean Energy Company LLC","Grays Harbor Ocean Energy Company LLC",,"Pacific Ocean","10 MW",1,,,Proposed,"46.858°, -124.187°"
"Great Lakes Science Center Wind Farm","Great Lakes Science Center Wind Farm","Great Lakes Science Center","Definition:Community Wind","Great Lakes Science Center","Great Lakes Science Center","Great Lakes Science Center","Cleveland OH","0.23 MW",1,2006,Vestas,"In Service","41.506659°, -81.696816°"
"Great Plains Wind Farm","Great Plains Wind Farm","Great Plains","Definition:Commercial Scale Wind","Noble Environmental","Noble Environmental",,"Hansford County TX","114 MW",76,2009,"GE Energy","In Service","36.285809°, -101.358662°"
"Green Mountain Energy Wind Farm I","Green Mountain Energy Wind Farm I","AMP-Ohio/Green Mountain Energy Wind Farm","Definition:Commercial Scale Wind","Bowling Green","AMP Ohio","Bowling Green","Bowling Green OH","3.6 MW",2,2003,Vestas,"In Service","41.374909°, -83.738093°"
"Green Mountain Energy Wind Farm II","Green Mountain Energy Wind Farm II","AMP-Ohio/Green Mountain Energy Wind Farm","Definition:Commercial Scale Wind","Ohio Municipal Electric Generation Agency Joint Venture 6","AMP Ohio","Ohio Municipal Electric Generation Agency Joint Venture 6","Bowling Green OH","3.6 MW",2,2004,Vestas,"In Service","41.374909°, -83.738093°"
"Green Mountain Wind Farm","Green Mountain Wind Farm","Green Mountain Wind Farm","Definition:Commercial Scale Wind","NextEra Energy Resources","National Wind Power","Green Mountain Energy Company","Somerset County PA","10.4 MW",8,2000,Nordex,"In Service","39.850753°, -79.066629°"
"Green Power Wind Farm","Green Power Wind Farm","Green Power","Definition:Commercial Scale Wind","NextEra Energy Resources","GE Energy","Southern California Edison Co","San Gorgonio CA","16.5 MW",22,1999,Zond,"In Service","33.9095°, -116.734°"
"Green Ridge Power Wind Farm I","Green Ridge Power Wind Farm I","Green Ridge Power","Definition:Commercial Scale Wind","NextEra Energy Resources",Kenetech,"Pacific Gas & Electric Co","Altamont Pass CA","147.6 MW","1,476",,Kenetech,"In Service","37.7347°, -121.652°"
"Green Ridge Power Wind Farm II","Green Ridge Power Wind Farm II","Green Ridge Power","Definition:Commercial Scale Wind","NextEra Energy Resources",Kenetech,"Pacific Gas & Electric Co","Altamont Pass CA","12.3 MW",41,,Kenetech,"In Service","37.7347°, -121.652°"
"Greenbush Kansas Wind Project","Greenbush Kansas Wind Project","Greenbush Kansas","Definition:Community Wind",,,,KS,,1,,SkyStream,,"37.51403°, -94.987839°"
"Greenfield Wind","Greenfield Wind","Greenfield Wind","Definition:Community Wind","Greenfield Wind Power LLC (community owned)",,"City of Greenfield - excess to Central Iowa Power Cooperative","Greenfield IA","1.6 MW",1,2012,"GE Energy","In Service","41.29064139°, -94.48559761°"
"Greensburg Wind Farm","Greensburg Wind Farm","Greensburg Wind Farm","Definition:Commercial Scale Wind","John Deere Wind","John Deere Wind",,"Southwest of Greensburg KS","12.5 MW",10,2010,"Suzlon Energy Company","In Service","37.576188°, -99.320898°"
Groton,Groton,Groton,"Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",NSTAR,"Hebron NH","48 MW",24,2012,Gamesa,"In Service","43.7550717°, -71.8284142°"
"Gulf Wind Farm","Gulf Wind Farm","Gulf Wind","Definition:Commercial Scale Wind","Pattern Energy","Babcock & Brown","Pattern Energy","South of Sarita TX","283.2 MW",118,2009,Mitsubishi,"In Service","27.081328°, -97.561619°"
"Hackberry Wind Project","Hackberry Wind Project","Hackberry Wind Project","Definition:Commercial Scale Wind","RES Americas","RES Americas","Austin Energy","Shackelford County TX","165.6 MW",72,2008,Siemens,"In Service","32.765491°, -99.413402°"
"Half Hollow Nursery","Half Hollow Nursery","Half Hollow Nursery","Definition:Small Scale Wind","Half Hollow Nursery",,"Half Hollow Nursery","Laurel NY","0.1 MW",1,2010,"Northern Power Systems","In Service","40.79109983°, -73.33895981°"
"Hampton Roads Demonstration Project","Hampton Roads Demonstration Project","Hampton Roads Demonstration Project","Definition:Offshore Wind",,"Virginia State Government",,"Chesapeake Bay VA","15 MW",3,,,Proposed,"36.965°, -76.289°"
"Hancock County Wind Farm","Hancock County Wind Farm","Hancock County Wind Farm","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Alliant Energy (44 MW); rest purchased by Corn Belt Cooperative and Cedar Falls","Hancock County IA","97.68 MW",148,2002,Vestas,"In Service","43.066524°, -93.70481°"
Hanover,Hanover,Hanover,"Definition:Community Wind","City of Hanover","City of Hanover",,"Hanover MA","0.25 MW",1,,Siva,"Under Construction","42.13095657°, -70.83262324°"
"Happy Jack Wind Farm","Happy Jack Wind Farm","Happy Jack","Definition:Commercial Scale Wind","Duke Energy Carolinas LLC","Duke Energy Carolinas LLC","Cheyenne Light Fuel & Power","Near Cheyenne WY","29.4 MW",14,2008,"Suzlon Energy Company","In Service","41.137532°, -104.994929°"
"Harbec Plastic Wind Turbine Wind Farm","Harbec Plastic Wind Turbine Wind Farm","Harbec Plastic Wind Turbine","Definition:Community Wind","Harbeck Plastic","Lorax Energy Systems","Harbeck Plastic","Rochester NY","0.25 MW",1,2002,Fuhrlander,"In Service","43.226039°, -77.361776°"
"Harbec Plastics","Harbec Plastics","Harbec Plastics","Definition:Community Wind","Northern Developments LLC","Harvest the Wind",,"Ontario NY","0.85 MW",1,2012,Gamesa,"In Service","43.2260525°, -77.36176372°"
"Harbor Wind","Harbor Wind","Harbor Wind","Definition:Commercial Scale Wind","Harbor Wind LLC","Revolution Energy",,"Corpus Christi TX","9 MW",6,2012,Guodian,"In Service","27.83061326°, -97.43418217°"
"Hardin-Hilltop Wind Project","Hardin-Hilltop Wind Project","Hardin-Hilltop Wind Project","Definition:Community Wind","Community wind","Community wind",Alliant,"Greene County IA","14.7 MW",7,2007,"Suzlon Energy Company","In Service","42.086204°, -94.349999°"
"Hardscrabble Wind Power Project","Hardscrabble Wind Power Project","Hardscrabble Wind Power Project","Definition:Commercial Scale Wind",,"Atlantic Wind",,"Fairfield and Norway north of Little Falls NY","74 MW",37,2010,Gamesa,"In Service","43.076452°, -74.859602°"
"Hartland Wind Farm","Hartland Wind Farm","Hartland Wind Farm","Definition:Commercial Scale Wind",,"Denali Energy Inc./Montgomery Energy Partners LP",,"Ward ND","500 MW",333,,,Proposed,"48.556661°, -101.7777865°"
"Harvest II","Harvest II","Harvest II","Definition:Commercial Scale Wind","Exelon Wind","Exelon Wind","Consumers Energy","Pigeon MI","59.4 MW",33,2012,Vestas,"In Service","43.83861292°, -83.2171011°"
"Harvest Wind Farm I","Harvest Wind Farm I","Harvest Wind Farm","Definition:Commercial Scale Wind","Cowlitz PUD; Lakeview Light and Power; Peninsula Light; Eugene Water and Electri","Cowlitz PUD; Lakeview Light and Power; Peninsula Light; Eugene Water and Electri","Cowlitz PUD; Lakeview Light and Power; Peninsula Light; Eugene Water and Electri","Northwest of Roosevelt","98.9 MW",43,2009,Siemens,"In Service","45.855664°, -120.288548°"
"Harvest Wind Farm II","Harvest Wind Farm II","Harvest Wind Farm","Definition:Commercial Scale Wind","John Deere Wind Energy","John Deere Wind Energy","Wolverine Power Cooperative","Oliver and Chandler Townships MI","52.8 MW",32,2008,Vestas,"In Service","43.829789°, -83.222872°"
"Hasselbach Meats","Hasselbach Meats","Hasselbach Meats","Definition:Small Scale Wind","Hasselbach Meats",,"Hasselbach Meats","Fremont OH","0.1 MW",1,2010,"Northern Power Systems","In Service","41.44069963°, -83.13450515°"
"Hastings Public Schools Wind Project","Hastings Public Schools Wind Project","Hastings Public Schools","Definition:Community Wind",,,,NE,,1,,SkyStream,,"40.601967°, -98.393356°"
"Hatchet Ridge Wind Farm","Hatchet Ridge Wind Farm","Hatchet Ridge Wind Farm","Definition:Commercial Scale Wind",,"RES Americas/Pattern Energy","Pacific Gas & Electric Co","West of Burney CA","101.2 MW",44,2010,Siemens,"In Service","40.875836°, -121.741233°"
"Hawaii Renewable","Hawaii Renewable","Hawaii Renewable","Definition:Commercial Scale Wind",EnXco,EnXco,"Hawaii Electric Light Co.","Near Upolu Point Big Island HI","10.56 MW",16,2006,Vestas,"In Service","20.2564°, -155.850409°"
Hawkeye,Hawkeye,Hawkeye,"Definition:Commercial Scale Wind","RPM Access Wind Development","RPM Access Wind Development","Central Iowa Power Cooperative","Rippey IA","37.5 MW",15,2012,Nordex,"In Service","42.92513165°, -92.02989578°"
"Hay Canyon Wind Farm","Hay Canyon Wind Farm","Hay Canyon Wind Farm","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","Snohomish Public Utility District","Near Moro OR","100.8 MW",48,2009,"Suzlon Energy Company","In Service","45.479548°, -120.741491°"
